time,open,high,low,close,tick_volume,spread,real_volume
2026-01-15 10:40:00,4605.33,4607.32,4602.26,4603.37,1094,0,0
2026-01-15 10:50:00,4603.4,4605.33,4601.3,4604.34,1036,0,0
2026-01-15 11:00:00,4604.29,4604.9,4600.77,4601.83,959,0,0
2026-01-15 11:10:00,4601.77,4604.49,4601.77,4602.75,1071,0,0
2026-01-15 11:20:00,4602.76,4605.53,4602.25,4604.71,1000,0,0
2026-01-15 11:30:00,4604.7,4610.44,4603.02,4609.18,1184,0,0
2026-01-15 11:40:00,4609.18,4612.46,4607.98,4612.28,1245,0,0
2026-01-15 11:50:00,4612.27,4613.17,4610.49,4612.71,1069,0,0
2026-01-15 12:00:00,4612.73,4613.71,4609.51,4611.68,1091,0,0
2026-01-15 12:10:00,4611.62,4614.71,4611.6,4612.99,1090,0,0
2026-01-15 12:20:00,4613.05,4615.69,4611.44,4612.28,1036,0,0
2026-01-15 12:30:00,4612.24,4618.35,4610.81,4618.06,1130,0,0
2026-01-15 12:40:00,4618.07,4619.87,4616.71,4619.26,1119,0,0
2026-01-15 12:50:00,4619.25,4620.37,4617.44,4619.93,953,0,0
2026-01-15 13:00:00,4619.95,4621.61,4618.84,4618.93,965,0,0
2026-01-15 13:10:00,4618.93,4620.36,4617.44,4617.66,970,0,0
2026-01-15 13:20:00,4617.59,4620.7,4617.59,4619.23,871,0,0
2026-01-15 13:30:00,4619.24,4623.1,4617.86,4621.89,1042,0,0
2026-01-15 13:40:00,4621.89,4621.89,4615.7,4616.99,1098,0,0
2026-01-15 13:50:00,4616.91,4620.45,4616.44,4619.32,1143,0,0
2026-01-15 14:00:00,4619.27,4620.91,4616.62,4617.45,1020,0,0
2026-01-15 14:10:00,4617.46,4617.47,4614.09,4614.59,1087,0,0
2026-01-15 14:20:00,4614.62,4618.79,4614.45,4616.68,1104,0,0
2026-01-15 14:30:00,4616.7,4617.78,4615.52,4617.37,1055,0,0
2026-01-15 14:40:00,4617.33,4618.65,4613.5,4614.45,1082,0,0
2026-01-15 14:50:00,4614.47,4615.76,4611.81,4614.07,1244,0,0
2026-01-15 15:00:00,4613.81,4616.28,4609.79,4612.68,1759,0,0
2026-01-15 15:10:00,4612.71,4614.44,4604.92,4605.3,1735,0,0
2026-01-15 15:20:00,4605.41,4609.89,4602.88,4605.66,1655,0,0
2026-01-15 15:30:00,4605.27,4605.3,4590.99,4594.06,1829,0,0
2026-01-15 15:40:00,4594.03,4595.3,4582.43,4588.23,1788,0,0
2026-01-15 15:50:00,4588.19,4594.26,4584.3,4587.98,1681,0,0
2026-01-15 16:00:00,4588.38,4596.84,4583.61,4596.07,1717,0,0
2026-01-15 16:10:00,4596.04,4600.88,4596.04,4599.89,1620,0,0
2026-01-15 16:20:00,4600.04,4606.79,4598.45,4603.01,1601,0,0
2026-01-15 16:30:00,4602.99,4612.03,4601.8,4608.74,1852,0,0
2026-01-15 16:40:00,4608.83,4610.71,4600.45,4609.35,1843,0,0
2026-01-15 16:50:00,4609.33,4615.18,4607.42,4611.37,1813,0,0
2026-01-15 17:00:00,4611.25,4615.22,4603.94,4608.85,1781,0,0
2026-01-15 17:10:00,4608.81,4618.16,4607.38,4615.59,1687,0,0
2026-01-15 17:20:00,4615.58,4617.73,4613.16,4616.63,1675,0,0
2026-01-15 17:30:00,4616.63,4617.65,4612.51,4613.61,1662,0,0
2026-01-15 17:40:00,4613.6,4617.06,4609.65,4615.37,1650,0,0
2026-01-15 17:50:00,4615.36,4617.15,4611.61,4615.49,1590,0,0
2026-01-15 18:00:00,4615.58,4616.49,4608.79,4615.41,1627,0,0
2026-01-15 18:10:00,4615.48,4624.75,4615.48,4621.17,1654,0,0
2026-01-15 18:20:00,4621.1,4621.98,4611.67,4611.72,1686,0,0
2026-01-15 18:30:00,4611.8,4613.56,4606.6,4606.6,1652,0,0
2026-01-15 18:40:00,4606.62,4607.9,4603.39,4603.52,1625,0,0
2026-01-15 18:50:00,4603.61,4606.89,4601.55,4605.82,1499,0,0
2026-01-15 19:00:00,4605.8,4611.26,4605.74,4609.4,1467,0,0
2026-01-15 19:10:00,4610.01,4612.66,4607.88,4612.27,1347,0,0
2026-01-15 19:20:00,4612.25,4613.85,4610.69,4611.0,1360,0,0
2026-01-15 19:30:00,4610.93,4616.67,4610.48,4614.8,1314,0,0
2026-01-15 19:40:00,4614.84,4617.01,4613.54,4615.36,1393,0,0
2026-01-15 19:50:00,4615.33,4616.82,4613.85,4616.62,1346,0,0
2026-01-15 20:00:00,4616.65,4620.46,4616.48,4618.41,1406,0,0
2026-01-15 20:10:00,4618.49,4620.13,4617.44,4619.22,1355,0,0
2026-01-15 20:20:00,4619.24,4621.27,4618.23,4619.59,1519,0,0
2026-01-15 20:30:00,4619.6,4619.6,4613.86,4618.08,1273,0,0
2026-01-15 20:40:00,4618.1,4619.73,4614.31,4618.88,1320,0,0
2026-01-15 20:50:00,4618.89,4619.18,4616.08,4617.65,1133,0,0
2026-01-15 21:00:00,4617.66,4621.54,4617.54,4621.37,1333,0,0
2026-01-15 21:10:00,4621.44,4621.6,4617.72,4619.53,1185,0,0
2026-01-15 21:20:00,4619.51,4620.68,4618.19,4618.31,1096,0,0
2026-01-15 21:30:00,4618.34,4619.25,4615.42,4616.37,1157,0,0
2026-01-15 21:40:00,4616.34,4617.31,4615.5,4616.0,1173,0,0
2026-01-15 21:50:00,4616.0,4616.43,4612.89,4616.06,1118,0,0
2026-01-15 22:00:00,4616.06,4616.4,4605.94,4605.94,1249,0,0
2026-01-15 22:10:00,4605.94,4608.86,4600.97,4601.87,1596,0,0
2026-01-15 22:20:00,4601.93,4605.99,4601.2,4605.06,1587,0,0
2026-01-15 22:30:00,4605.11,4609.47,4603.82,4606.95,1450,0,0
2026-01-15 22:40:00,4607.0,4609.18,4604.28,4605.88,1407,0,0
2026-01-15 22:50:00,4605.88,4607.28,4603.6,4605.89,1466,0,0
2026-01-15 23:00:00,4605.89,4612.36,4604.59,4610.62,1039,0,0
2026-01-15 23:10:00,4610.57,4613.93,4610.36,4613.76,713,0,0
2026-01-15 23:20:00,4613.79,4615.72,4613.05,4614.38,678,0,0
2026-01-15 23:30:00,4614.43,4615.66,4613.86,4613.86,477,0,0
2026-01-15 23:40:00,4613.89,4616.57,4613.75,4614.96,635,0,0
2026-01-15 23:50:00,4614.98,4616.29,4613.73,4616.08,532,0,0
2026-01-16 01:00:00,4618.09,4620.89,4616.9,4619.06,606,0,0
2026-01-16 01:10:00,4619.04,4619.5,4612.9,4613.71,966,0,0
2026-01-16 01:20:00,4613.66,4614.97,4608.95,4609.22,903,0,0
2026-01-16 01:30:00,4609.11,4611.27,4607.46,4609.01,1043,0,0
2026-01-16 01:40:00,4609.03,4610.1,4606.55,4606.84,971,0,0
2026-01-16 01:50:00,4606.84,4610.93,4606.6,4610.4,819,0,0
2026-01-16 02:00:00,4610.3,4610.4,4603.43,4605.01,930,0,0
2026-01-16 02:10:00,4605.09,4610.22,4604.9,4608.38,722,0,0
2026-01-16 02:20:00,4608.38,4611.47,4606.37,4607.84,759,0,0
2026-01-16 02:30:00,4607.92,4608.23,4601.89,4603.1,1037,0,0
2026-01-16 02:40:00,4603.12,4603.94,4600.14,4601.09,1249,0,0
2026-01-16 02:50:00,4601.1,4602.18,4598.69,4600.3,1206,0,0
2026-01-16 03:00:00,4600.16,4604.35,4594.08,4604.28,1731,0,0
2026-01-16 03:10:00,4604.33,4605.24,4600.32,4603.26,1564,0,0
2026-01-16 03:20:00,4603.26,4607.44,4602.07,4606.12,1432,0,0
2026-01-16 03:30:00,4606.16,4607.61,4601.6,4605.71,1393,0,0
2026-01-16 03:40:00,4605.69,4608.6,4602.58,4603.15,1431,0,0
2026-01-16 03:50:00,4603.07,4604.45,4599.25,4600.85,1438,0,0
2026-01-16 04:00:00,4600.66,4603.73,4598.96,4603.45,1486,0,0
2026-01-16 04:10:00,4603.48,4603.48,4597.12,4601.42,1424,0,0
2026-01-16 04:20:00,4601.46,4604.49,4599.16,4600.17,1218,0,0
2026-01-16 04:30:00,4600.08,4601.08,4591.51,4594.73,1720,0,0
2026-01-16 04:40:00,4594.7,4598.7,4594.23,4596.55,1457,0,0
2026-01-16 04:50:00,4596.54,4598.48,4591.97,4595.09,1403,0,0
2026-01-16 05:00:00,4595.11,4599.33,4594.61,4598.44,1356,0,0
2026-01-16 05:10:00,4598.44,4599.93,4597.82,4598.76,1265,0,0
2026-01-16 05:20:00,4598.77,4599.29,4595.39,4595.56,1217,0,0
2026-01-16 05:30:00,4595.69,4597.18,4592.91,4597.04,983,0,0
2026-01-16 05:40:00,4597.06,4597.54,4595.24,4595.89,863,0,0
2026-01-16 05:50:00,4595.85,4597.36,4595.67,4596.46,763,0,0
2026-01-16 06:00:00,4596.36,4599.16,4596.2,4598.75,770,0,0
2026-01-16 06:10:00,4598.73,4600.52,4598.38,4600.42,726,0,0
2026-01-16 06:20:00,4600.48,4601.48,4598.33,4598.67,733,0,0
2026-01-16 06:30:00,4598.66,4600.06,4597.37,4599.83,716,0,0
2026-01-16 06:40:00,4599.84,4601.17,4599.43,4599.93,684,0,0
2026-01-16 06:50:00,4599.95,4602.12,4599.07,4601.23,641,0,0
2026-01-16 07:00:00,4601.28,4601.53,4599.33,4599.58,747,0,0
2026-01-16 07:10:00,4599.57,4600.04,4595.46,4597.97,888,0,0
2026-01-16 07:20:00,4598.01,4601.74,4597.73,4601.4,774,0,0
2026-01-16 07:30:00,4601.24,4604.11,4596.7,4603.48,1493,0,0
2026-01-16 07:40:00,4603.19,4613.19,4603.11,4611.71,1415,0,0
2026-01-16 07:50:00,4611.78,4616.17,4611.1,4611.62,1349,0,0
2026-01-16 08:00:00,4611.6,4612.41,4606.5,4608.04,1424,0,0
2026-01-16 08:10:00,4607.92,4608.09,4603.79,4605.94,1507,0,0
2026-01-16 08:20:00,4606.04,4609.27,4604.64,4604.64,1276,0,0
2026-01-16 08:30:00,4604.52,4608.2,4602.71,4605.32,1204,0,0
2026-01-16 08:40:00,4605.32,4605.72,4594.3,4596.79,1484,0,0
2026-01-16 08:50:00,4596.86,4599.33,4595.12,4598.28,1309,0,0
2026-01-16 09:00:00,4598.29,4606.48,4597.08,4606.43,1090,0,0
2026-01-16 09:10:00,4606.4,4612.25,4606.17,4609.28,1150,0,0
2026-01-16 09:20:00,4609.28,4609.44,4605.1,4606.18,1043,0,0
2026-01-16 09:30:00,4606.15,4612.08,4603.67,4607.42,1292,0,0
2026-01-16 09:40:00,4607.56,4609.75,4601.22,4607.98,1071,0,0
2026-01-16 09:50:00,4608.15,4609.31,4606.87,4607.67,868,0,0
2026-01-16 10:00:00,4607.67,4610.62,4605.44,4605.8,1016,0,0
2026-01-16 10:10:00,4605.76,4608.73,4604.81,4607.47,850,0,0
2026-01-16 10:20:00,4607.5,4610.78,4605.61,4607.47,1053,0,0
2026-01-16 10:30:00,4607.43,4609.09,4603.78,4605.57,952,0,0
2026-01-16 10:40:00,4605.49,4605.61,4601.41,4603.03,953,0,0
2026-01-16 10:50:00,4603.03,4607.57,4602.51,4603.39,915,0,0
2026-01-16 11:00:00,4603.24,4608.43,4602.65,4606.06,977,0,0
2026-01-16 11:10:00,4606.06,4606.39,4602.29,4603.7,928,0,0
2026-01-16 11:20:00,4603.61,4604.39,4599.84,4601.33,840,0,0
2026-01-16 11:30:00,4601.34,4601.86,4599.07,4600.73,672,0,0
2026-01-16 11:40:00,4600.76,4603.71,4599.86,4601.69,703,0,0
2026-01-16 11:50:00,4601.69,4602.33,4600.45,4600.83,808,0,0
2026-01-16 12:00:00,4600.73,4606.0,4600.67,4604.55,878,0,0
2026-01-16 12:10:00,4604.57,4609.89,4604.57,4609.37,836,0,0
2026-01-16 12:20:00,4609.25,4611.25,4607.63,4607.69,799,0,0
2026-01-16 12:30:00,4607.6,4609.47,4607.12,4608.11,743,0,0
2026-01-16 12:40:00,4608.04,4608.78,4606.94,4608.01,719,0,0
2026-01-16 12:50:00,4608.0,4608.6,4599.91,4600.33,980,0,0
2026-01-16 13:00:00,4600.55,4602.79,4598.66,4602.01,1036,0,0
2026-01-16 13:10:00,4602.01,4609.34,4601.46,4609.17,967,0,0
2026-01-16 13:20:00,4609.19,4611.66,4608.56,4611.28,877,0,0
2026-01-16 13:30:00,4611.21,4614.05,4609.71,4613.0,965,0,0
2026-01-16 13:40:00,4612.94,4616.02,4612.76,4613.72,887,0,0
2026-01-16 13:50:00,4613.69,4614.77,4612.52,4612.64,792,0,0
2026-01-16 14:00:00,4612.68,4612.83,4609.42,4610.37,981,0,0
2026-01-16 14:10:00,4610.35,4613.08,4609.98,4612.09,760,0,0
2026-01-16 14:20:00,4612.14,4612.58,4604.83,4606.57,960,0,0
2026-01-16 14:30:00,4606.62,4606.9,4602.35,4603.69,1005,0,0
2026-01-16 14:40:00,4603.69,4605.43,4602.28,4604.97,985,0,0
2026-01-16 14:50:00,4605.06,4605.13,4597.55,4602.05,1222,0,0
2026-01-16 15:00:00,4601.99,4605.63,4597.19,4597.21,1765,0,0
2026-01-16 15:10:00,4597.22,4598.69,4583.63,4587.34,1707,0,0
2026-01-16 15:20:00,4587.54,4593.67,4582.78,4587.16,1777,0,0
2026-01-16 15:30:00,4587.04,4598.96,4585.69,4592.53,1766,0,0
2026-01-16 15:40:00,4592.02,4602.47,4591.12,4601.97,1598,0,0
2026-01-16 15:50:00,4601.97,4603.15,4597.37,4602.02,1543,0,0
2026-01-16 16:00:00,4601.99,4607.43,4598.58,4604.01,1638,0,0
2026-01-16 16:10:00,4603.9,4609.5,4602.79,4604.75,1438,0,0
2026-01-16 16:20:00,4604.75,4606.01,4598.56,4599.31,1439,0,0
2026-01-16 16:30:00,4599.14,4611.8,4596.44,4605.05,1797,0,0
2026-01-16 16:40:00,4605.03,4614.64,4604.87,4613.97,1799,0,0
